ACTCMMID,COSTT4_A,RET_FT4,MD_EARN_WNE_INC1_P10,SAT_AVG,TUITIONFEE_IN,OPENADMP,UG25ABV,PCTPELL,PCTPELL_DCS,C150_4
33.0,82245.0,0.9538,49308.0,1426.0,64322.0,2.0,0.0216,0.1448,0.1516,0.9315
34.0,82170.0,0.981,99674.0,1547.0,62250.0,2.0,0.0067,0.1877,0.1878,0.9781
29.0,28744.0,0.9093,65375.0,1290.0,15410.0,2.0,0.0252,0.1563,0.1622,0.7961
31.0,68494.0,0.8625,76415.0,1386.0,53889.0,2.0,0.0167,0.1247,0.1293,0.7943
17.0,39402.0,0.7285,40902.0,896.0,17712.0,2.0,0.248,0.5603,0.5676,0.4367
32.0,77900.0,0.8957,87173.0,1420.0,62200.0,2.0,0.0962,0.1469,0.1546,0.848
34.0,81515.0,0.9658,94024.0,1507.0,62052.0,2.0,0.0217,0.115,0.1193,0.9561
24.0,48214.0,0.8817,62422.0,1164.0,31050.0,2.0,0.0255,0.4052,0.408,0.7
20.0,19539.0,0.7391,40545.0,1045.0,12450.0,2.0,0.2749,0.3199,0.5357,0.5938
17.0,29551.0,0.5136,37277.0,903.0,14794.0,2.0,0.0402,0.7632,0.7632,0.3471
23.0,58188.0,0.7404,47561.0,1126.0,41550.0,2.0,0.0905,0.2515,0.2523,0.5209
20.0,29073.0,0.4848,37151.0,960.0,18614.0,2.0,0.1074,0.6443,0.6486,0.4857
28.0,22662.0,0.9299,55645.0,1281.0,6368.0,2.0,0.1548,0.3435,0.3449,0.7558
26.0,57754.0,0.818,75740.0,1237.0,40564.0,2.0,0.059,0.17,0.2197,0.6348
20.0,23985.0,0.8982,43206.0,1077.0,5785.0,2.0,0.0794,0.5547,0.5782,0.6041
23.0,20118.0,0.8088,55364.0,1112.0,4879.0,2.0,0.1781,0.3599,0.3776,0.6214
23.0,38585.0,0.6927,46471.0,1168.0,23760.0,2.0,0.0795,0.2984,0.3004,0.5717
23.0,32090.0,0.6968,37828.0,1114.0,18060.0,2.0,0.0206,0.2663,0.2663,0.6761
27.0,57630.0,0.7544,33700.0,1213.0,43670.0,2.0,0.0733,0.2031,0.2203,0.6702
24.0,19666.0,0.9056,58553.0,1154.0,6565.0,2.0,0.217,0.5288,0.6146,0.6918
28.0,55055.0,0.774,54895.0,1206.0,40500.0,2.0,0.0754,0.2679,0.2744,0.6812
28.0,23308.0,0.9393,58378.0,1309.0,5656.0,2.0,0.0354,0.2824,0.2843,0.8479
31.0,21359.0,0.9657,68870.0,1397.0,6381.0,2.0,0.032,0.2213,0.2267,0.9001
23.0,58927.0,0.6349,54936.0,1165.0,43670.0,2.0,0.1614,0.096,0.0967,0.5313
32.0,73776.0,0.921,73938.0,1409.0,57194.0,2.0,0.0404,0.1607,0.1629,0.8411
23.0,18984.0,0.8009,55098.0,1104.0,6389.0,2.0,0.1462,0.3049,0.3116,0.6767
25.0,53370.0,0.7759,53583.0,1164.0,36300.0,2.0,0.0964,0.3896,0.3931,0.6198
23.0,52625.0,0.761,45470.0,1126.0,35900.0,2.0,0.1089,0.2531,0.3156,0.5631
22.0,40214.0,0.5445,40850.0,1102.0,27050.0,2.0,0.527,0.4371,0.4563,0.4934
27.0,21383.0,0.8957,55901.0,1235.0,6410.0,2.0,0.1467,0.3155,0.327,0.7412
19.0,50684.0,0.5263,50238.0,1178.5,33760.0,2.0,0.1097,0.2752,0.5481,0.4264
26.0,67631.0,0.675,50085.0,1205.0,52320.0,2.0,0.0296,0.3564,0.3627,0.6366
