SAT_AVG,UG25ABV,PCTPELL,PCTPELL_DCS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,RET_FT4,MD_EARN_WNE_INC1_P10,MD_EARN_WNE_INC3_P10,C150_4
871.0,0.0769,0.728,0.7371,5832.0,16572.0,20211.0,0.6731,34932.0,43153.0,0.4555
1480.0,0.0228,0.1332,0.1404,11764.0,32876.0,29148.0,0.9786,102952.0,102695.0,0.926
1075.0,0.2032,0.3867,0.4727,4980.0,15702.0,19915.0,0.5973,44106.0,55903.0,0.3621
1144.0,0.0115,0.1627,0.1656,8974.0,28154.0,28118.0,0.8015,51479.0,62157.0,0.6237
1057.0,0.1082,0.3709,0.3897,6485.0,17539.0,22652.0,0.7197,47989.0,58605.0,0.5274
1127.0,0.1489,0.5141,0.5246,8478.0,23709.0,27149.0,0.7826,43132.0,55982.0,0.549
1335.0,0.0214,0.1847,0.1856,11180.0,30220.0,27821.0,0.943,64451.0,71200.0,0.8811
952.0,0.1774,0.4534,0.5522,3475.0,10381.0,14627.0,0.5417,36047.0,44208.0,0.2267
983.0,0.1813,0.3974,0.4035,14406.0,14406.0,40129.0,0.6982,46555.0,43726.0,0.3125
1288.0,0.2491,0.3313,0.3484,39708.0,39708.0,55068.0,0.855,51412.0,72319.0,0.7351
1090.0,0.1088,0.433,0.433,29468.0,29468.0,48890.0,0.7981,48874.0,61225.0,0.5898
1207.0,0.0512,0.3714,0.3838,43990.0,43990.0,57647.0,0.7624,49724.0,63521.0,0.571
1108.0,0.2016,0.4215,0.4361,29190.0,29190.0,42631.0,0.6789,46371.0,54621.0,0.4835
1059.0,0.1336,0.3985,0.4488,22810.0,22810.0,33819.0,0.7175,38613.0,53917.0,0.3186
1010.0,0.4299,0.4312,0.4831,11080.0,11080.0,18420.0,0.3556,43132.0,65229.0,0.6703
1114.0,0.0582,0.2265,0.5019,22350.0,22350.0,33983.0,0.5964,32723.0,42911.0,0.4638
1077.0,0.0299,0.1121,0.3484,24440.0,24440.0,35484.0,0.6904,44294.0,52517.0,0.4633
1027.0,0.1405,0.5179,0.5387,6007.0,17062.0,20694.0,0.5906,46399.0,53154.0,0.4031
1026.0,0.1298,0.4388,0.489,5941.0,16996.0,23870.0,0.7331,47293.0,51608.0,0.4324
1020.0,0.2226,0.3945,0.4144,7838.0,20798.0,21526.0,0.6777,45671.0,55521.0,0.4246
1113.0,0.1462,0.2535,0.2587,12186.0,34218.0,22185.0,0.7883,56214.0,59186.0,0.6233
1173.0,0.1702,0.2127,0.3173,31940.0,31940.0,49353.0,0.5885,57268.0,59614.0,0.4499
1033.0,0.3979,0.3088,0.3504,7584.0,20544.0,15528.0,0.6885,49529.0,57330.0,0.3271
950.0,0.2472,0.573,0.573,9770.0,9770.0,25426.0,0.7222,29937.0,38474.0,0.4688
1129.0,0.0914,0.2482,0.311,8396.0,27632.0,22108.0,0.7378,49750.0,61528.0,0.611
1175.0,0.0143,0.2413,0.2413,34630.0,34630.0,47926.0,0.7577,46983.0,58819.0,0.5992
1139.0,0.2268,0.2691,0.3093,36298.0,36298.0,46897.0,0.7216,49145.0,59678.0,0.5817
1107.0,0.4321,0.2623,0.2669,4536.0,4536.0,12807.0,0.6792,56911.0,50499.0,0.5382
1087.0,0.1291,0.4409,0.445,27420.0,27420.0,38012.0,0.7271,55621.0,60563.0,0.5975
1208.0,0.0222,0.3011,0.3019,37800.0,37800.0,50881.0,0.8258,61256.0,70640.0,0.761
1532.0,0.0058,0.1294,0.1307,64260.0,64260.0,84126.0,0.9898,93923.0,91978.0,0.9558
1000.0,0.115,0.3109,0.4649,13101.0,15528.0,25334.0,0.7147,43619.0,57759.0,0.5464
1107.0,0.0961,0.3642,0.3805,40232.0,40232.0,51455.0,0.8038,58768.0,62178.0,0.6352
945.0,0.4588,0.5312,0.5353,10468.0,17980.0,20901.0,0.5585,52957.0,63445.0,0.2066
1003.0,0.1034,0.3831,0.4069,30548.0,30548.0,43239.0,0.7621,43229.0,53425.0,0.575
1232.0,0.0909,0.4956,0.5017,14046.0,28654.0,24375.0,0.7832,66641.0,71861.0,0.6162
1440.0,0.0134,0.2486,0.2551,15714.0,33686.0,31636.0,0.9332,76079.0,84774.0,0.8469
1263.0,0.0067,0.245,0.2461,53814.0,53814.0,66835.0,0.8245,66897.0,74936.0,0.7948
1076.0,0.0583,0.392,0.3989,36346.0,36346.0,46023.0,0.7258,46679.0,63270.0,0.6735
1328.0,0.0951,0.2932,0.3007,50640.0,50640.0,67233.0,0.8471,81196.0,85858.0,0.75
1111.0,0.0412,0.3034,0.3042,15170.0,27011.0,32151.0,0.8032,57177.0,64463.0,0.6698
1032.0,0.25,0.3294,0.3326,30910.0,30910.0,39201.0,0.6145,51293.0,61263.0,0.5311
1311.0,0.0216,0.2984,0.3026,53259.0,53259.0,63874.0,0.8185,53811.0,56285.0,0.7457
1281.0,0.0295,0.354,0.354,52902.0,52902.0,65637.0,0.851,61038.0,63037.0,0.7778
1133.0,0.1825,0.3153,0.3243,36530.0,36530.0,44513.0,0.8082,64981.0,66075.0,0.6231
1308.0,0.0691,0.224,0.2255,49498.0,49498.0,62997.0,0.8127,69658.0,72351.0,0.7087
1087.0,0.0762,0.3526,0.3717,26892.0,41632.0,40918.0,0.7017,49776.0,53163.0,0.5779
1141.0,0.0093,0.3272,0.3293,42214.0,42214.0,54707.0,0.7654,42092.0,54624.0,0.5684
1138.0,0.0362,0.2608,0.2631,43046.0,43046.0,54661.0,0.7695,54299.0,61877.0,0.6333
1120.0,0.0979,0.4416,0.4416,34020.0,34020.0,41988.0,0.7091,55604.0,60008.0,0.55
1526.0,0.0326,0.1825,0.1858,63468.0,63468.0,83803.0,0.9779,79700.0,91835.0,0.9652
980.0,0.1966,0.4912,0.4937,35050.0,35050.0,45985.0,0.6386,51185.0,61534.0,0.4014
973.0,0.2229,0.4807,0.4878,33068.0,33068.0,46360.0,0.6028,42650.0,58245.0,0.4257
1012.0,0.1008,0.4818,0.4972,36500.0,36500.0,43574.0,0.7484,57626.0,66663.0,0.587
1166.0,0.2252,0.3753,0.3884,36000.0,36000.0,43760.0,0.7129,58807.0,69023.0,0.6495
1125.0,0.344,0.3592,0.3683,12077.0,21842.0,24287.0,0.7577,55090.0,61737.0,0.5322
1068.0,0.1966,0.3598,0.3676,15416.0,15416.0,28970.0,0.7032,49479.0,58401.0,0.4934
1080.0,0.1417,0.3225,0.3245,12558.0,12558.0,24429.0,0.7051,51598.0,60885.0,0.5352
1088.0,0.1998,0.3246,0.3367,34325.0,34325.0,46996.0,0.7654,49957.0,59430.0,0.6875
1076.0,0.1431,0.3454,0.4105,33898.0,33898.0,46333.0,0.7143,43096.0,50106.0,0.4965
1367.0,0.0085,0.209,0.2126,42240.0,42240.0,54537.0,0.9024,53691.0,70697.0,0.8827
1090.0,0.0777,0.365,0.3724,34080.0,34080.0,48027.0,0.6901,43194.0,51531.0,0.5934
1191.0,0.0508,0.3356,0.3598,10440.0,27924.0,24478.0,0.7288,46288.0,55207.0,0.6387
1262.0,0.0095,0.1349,0.1395,44460.0,44460.0,62673.0,0.8867,65845.0,77859.0,0.8078
1275.0,0.0023,0.1636,0.1651,55410.0,55410.0,70394.0,0.924,60930.0,76984.0,0.7925
1261.0,0.0061,0.2492,0.2511,50058.0,50058.0,62999.0,0.7953,44647.0,50665.0,0.7465
1180.0,0.0585,0.211,0.2439,41336.0,41336.0,52798.0,0.8012,45351.0,61782.0,0.6499
1096.0,0.0145,0.3915,0.4,36136.0,36136.0,49403.0,0.7233,50040.0,59663.0,0.6298
1132.0,0.1041,0.3151,0.3255,36660.0,36660.0,47366.0,0.8033,50953.0,52378.0,0.6378
1103.0,0.0688,0.3016,0.3378,29048.0,29048.0,39454.0,0.7864,41717.0,48088.0,0.6633
1214.0,0.004,0.2558,0.2759,41559.0,41559.0,55210.0,0.779,47925.0,61954.0,0.6916
1320.0,0.0556,0.2735,0.2735,34800.0,34800.0,47029.0,0.713,44850.0,60353.0,0.3256
1100.0,0.0893,0.3482,0.3892,28830.0,28830.0,40132.0,0.8193,45447.0,49677.0,0.7056
1101.0,0.1205,0.262,0.3565,8985.0,21573.0,19050.0,0.6272,41402.0,50641.0,0.3569
1157.0,0.1728,0.3592,0.3686,10144.0,32582.0,21624.0,0.7085,52687.0,59759.0,0.5634
1139.0,0.0903,0.2288,0.298,10210.0,22255.0,20435.0,0.6989,42817.0,51191.0,0.5106
1105.0,0.1615,0.345,0.3721,7941.0,21301.0,13332.0,0.6388,45559.0,55835.0,0.416
1064.0,0.2147,0.4116,0.4197,7941.0,21301.0,15251.0,0.6604,42099.0,49734.0,0.3616
1322.0,0.0174,0.1745,0.1758,11447.0,39120.0,27131.0,0.8986,51816.0,71031.0,0.8113
1068.0,0.2416,0.4316,0.4495,7941.0,21301.0,13597.0,0.6791,38084.0,50701.0,0.3732
1124.0,0.2322,0.3404,0.349,7941.0,21301.0,14752.0,0.6052,43960.0,51986.0,0.3456
1092.0,0.4053,0.3589,0.3926,7941.0,21301.0,15899.0,0.6388,40444.0,50587.0,0.4249
1120.0,0.0256,0.2594,0.2817,29684.0,29684.0,41692.0,0.7823,46559.0,74060.0,0.6667
1515.0,0.0011,0.1152,0.1155,60301.0,60301.0,78347.0,0.9738,99391.0,102205.0,0.9633
1010.0,0.0648,0.2822,0.3648,26400.0,26400.0,40024.0,0.7114,38439.0,51120.0,0.5349
1398.0,0.0034,0.1225,0.1228,54602.0,54602.0,72651.0,0.9167,101261.0,102046.0,0.8085
