INSTNM,CITY,STABBR,ZIP,ADM_RATE_ALL,ADMCON7,SAT_AVG,ACTCM25,ACTCM75,OPENADMP,PCTFLOAN_DCS,PCTPELL_DCS,FTFTPCTFLOAN,UGDS,UGDS_MEN,UGDS_WOMEN,UG25ABV,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,PAR_ED_PCT_1STGEN,FAMINC,MD_FAMINC,PCT_BORN_US,UNEMP_RATE,COSTT4_A,COSTT4_P
Odessa College,Odessa,TX,79764,,,,,,1.0,0.0392,0.4331,0.0372,4296.0,0.3403,0.6597,0.2592,0.2162,0.0647,0.6764,0.0095,0.0044,0.0007,0.0,0.0035,0.0244,6292,5500,0.5713346483,30761.345641,22562.5,87.9499969482422,4.69999980926513,12820.0,
Ogle School Hair Skin Nails-Arlington,Arlington,TX,76013,,,,,,1.0,0.6957,0.7299,0.8173,324.0,0.0185,0.9815,0.507,0.1358,0.466,0.3179,0.0123,0.0,0.0,0.0463,0.0,0.0216,7916,7592,0.4918533605,31220.076596,19379,87.2099990844726,3.24000000953674,,23616.0
Ogle School Hair Skin Nails-Ft Worth,Fort Worth,TX,76132-3638,,,,,,1.0,0.6778,0.6657,0.7892,446.0,0.0135,0.9865,0.4734,0.3453,0.2399,0.3363,0.0067,0.0022,0.0022,0.0583,0.0,0.009,7350,7421,0.5090744102,29668.46515,18535,85.1900024414062,3.46000003814697,,22834.0
Our Lady of the Lake University,San Antonio,TX,78207-4689,,,,,,1.0,0.6633,0.5867,0.6426,1163.0,0.3353,0.6647,0.1709,0.0825,0.0688,0.7653,0.0052,0.0,0.0,0.0,0.0206,0.0576,17017,17251,0.4759284732,39792.833333,28529.5,84.6100006103515,4.01000022888183,40626.0,
The University of Texas Rio Grande Valley,Edinburg,TX,78539-2999,0.8769644935972,5.0,1020.0,16.0,22.0,2.0,0.2428,0.6223,0.1271,26420.0,0.4073,0.5927,0.1624,0.0206,0.0041,0.9373,0.0102,0.0005,0.0004,0.0017,0.0167,0.0086,9477,10400,0.5259824759,29153.612562,21058,70.9800033569336,6.28000020980835,17988.0,
Texas Southmost College,Brownsville,TX,78520,,,,,,1.0,0.1242,0.6899,0.0733,3644.0,0.4424,0.5576,0.1036,0.0296,0.0014,0.9413,0.0022,0.0008,0.0,0.0,0.0049,0.0198,6177,5750,0.5624640184,23687.024521,18075,70.0199966430664,6.42000007629394,11204.0,
Panola College,Carthage,TX,75633-2397,,,,,,1.0,0.0897,0.5205,0.0664,1489.0,0.27,0.73,0.2296,0.5467,0.223,0.1847,0.0034,0.0047,0.0,0.0208,0.0168,0.0,5909,6500,0.5112359551,29782.16922,21298.5,95.2900009155273,3.80999994277954,13246.0,
Paris Junior College,Paris,TX,75460,,,,,,1.0,0.031,0.4739,0.0301,2339.0,0.354,0.646,0.1897,0.593,0.1107,0.2146,0.006,0.0158,0.0021,0.0329,0.0175,0.0073,4500,3500,0.5541401274,22504.362488,19204,95.7200012207031,3.39000010490417,12659.0,
Paul Quinn College,Dallas,TX,75241,0.57275390625,3.0,,,,2.0,0.8597,0.7449,0.8704,938.0,0.3209,0.6791,0.2135,0.226,0.4787,0.0906,0.0139,0.0053,0.0043,0.1461,0.0043,0.0309,11000,14750,0.4846938776,24616.547569,18000,86.5400009155273,4.92000007629394,21678.0,
Prairie View A & M University,Prairie View,TX,77446,0.76067474960463,1.0,957.0,16.0,21.0,2.0,0.4643,0.6593,0.4501,8103.0,0.3225,0.6775,0.0701,0.0123,0.853,0.0813,0.008,0.002,0.0005,0.0273,0.0114,0.0042,16847,18500,0.3349093775,40667.560074,28812,85.5599975585937,4.57999992370605,25775.0,
Ranger College,Ranger,TX,76470,,,,,,1.0,0.0793,0.2484,0.1081,2104.0,0.461,0.539,0.0831,0.5675,0.0375,0.3279,0.009,0.001,0.0005,0.0328,0.0214,0.0024,6500,5500,0.4595238095,37046.844221,26073,91.3199996948242,4.01999998092651,13399.0,
Aviation Institute of Maintenance-Houston,Houston,TX,77061,,,,,,1.0,0.7008,0.6639,0.8889,250.0,0.936,0.064,0.5246,0.24,0.2,0.38,0.128,0.004,0.0,0.044,0.0,0.004,20000,27183,0.5071942446,31642.966581,22737,,,25268.0,
Rice University,Houston,TX,77005-1827,0.08682377635721,5.0,1546.0,34.0,36.0,2.0,0.0658,0.1665,0.069,4480.0,0.5114,0.4886,0.004,0.2819,0.0792,0.1547,0.2946,0.0011,0.0007,0.048,0.125,0.0147,8893,10000,0.1447587354,84483.635071,65041,85.3300018310547,3.10999989509582,71745.0,
Saint Edward's University,Austin,TX,78704-6489,0.85103906899418,5.0,1165.0,20.0,27.0,2.0,0.5228,0.3983,0.4943,2751.0,0.381,0.619,0.0815,0.3217,0.0353,0.5162,0.0254,0.0036,0.0004,0.0269,0.0618,0.0087,21000,19500,0.3254397835,70504.140792,48851,85.3000030517578,3.05999994277954,63671.0,
St Philip's College,San Antonio,TX,78203-2098,,,,,,1.0,0.0431,0.2789,0.0416,9344.0,0.3939,0.6061,0.3287,0.1601,0.1011,0.6702,0.0238,0.0018,0.0017,0.0368,0.0006,0.0039,7251,6500,0.5499474238,24879.594114,20835.5,87.6500015258789,3.99000000953674,12147.0,
University of St Thomas,Houston,TX,77006-4696,0.96705253784505,5.0,1171.0,24.0,29.0,2.0,0.3584,0.3692,0.3601,2524.0,0.4073,0.5927,0.3142,0.1997,0.0741,0.5012,0.109,0.0024,0.0008,0.0123,0.0468,0.0539,13000,12473,0.3778625954,51529.245066,35251.5,79.7699966430664,3.61999988555908,42639.0,
Sam Houston State University,Huntsville,TX,77340,0.84634714390782,5.0,1056.0,18.0,24.0,2.0,0.4728,0.3985,0.5134,18184.0,0.3653,0.6347,0.1623,0.4729,0.1642,0.2701,0.0219,0.0067,0.0012,0.0351,0.0086,0.0193,16511,15500,0.4140865737,54799.381039,37602,88.7799987792968,3.5,23962.0,
San Antonio College,San Antonio,TX,78212-3941,,,,,,1.0,0.0566,0.3749,0.056,15568.0,0.3772,0.6228,0.3557,0.1698,0.0765,0.6923,0.0225,0.0017,0.0015,0.0311,0.0045,0.0002,6500,5875,0.5158227848,26017.454515,21534,86.6600036621093,3.73000001907348,11834.0,
San Jacinto Community College,Pasadena,TX,77505,,,,,,1.0,0.0302,0.3769,0.0198,22790.0,0.4108,0.5892,0.2299,0.183,0.0894,0.6325,0.0477,0.002,0.0005,0.0181,0.017,0.0099,6250,5350,0.5342917041,27445.567934,22004.5,81.6399993896484,4.30999994277954,14372.0,
Schreiner University,Kerrville,TX,78028-5697,0.8519527702089,3.0,,,,2.0,0.6587,0.3733,0.7291,1056.0,0.447,0.553,0.1042,0.4915,0.054,0.3949,0.0076,0.0047,0.0019,0.035,0.0104,0.0,13750,13000,0.3729903537,66169.192024,49706,91.5400009155273,2.74000000953674,45167.0,
Seguin Beauty School-Seguin,Seguin,TX,78155,,,,,,1.0,0.8372,0.6977,0.84,50.0,0.0,1.0,0.5,0.58,0.02,0.4,0.0,0.0,0.0,0.0,0.0,0.0,PS,PS,0.5606060606,25442.72093,18515,92.3499984741211,3.35999989509582,,21885.0
St. Mary's University,San Antonio,TX,78228,0.8621717265785,3.0,,,,2.0,0.5017,0.4148,0.5802,1991.0,0.3963,0.6037,0.0583,0.1231,0.0281,0.6047,0.0226,0.0075,0.0025,0.0141,0.0708,0.1266,19500,19500,0.3872387239,53377.059583,37985,84.3600006103515,3.89000010490417,45724.0,
South Plains College,Levelland,TX,79336,,,,,,1.0,0.2075,0.5118,0.2054,6378.0,0.3982,0.6018,0.2447,0.3492,0.0789,0.5321,0.0204,0.0124,0.0025,0.0,0.0038,0.0008,7000,5500,0.5399376349,36578.449312,25383.5,94.120002746582,3.56999993324279,12207.0,
South Texas Barber College Inc,Corpus Christi,TX,78415,,,,,,1.0,0.0,0.6897,0.0,18.0,0.7778,0.2222,0.7857,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PS,PS,PS,16460.702703,13958,91.4400024414062,5.19000005722045,,20445.0
